Issue Type,Epic Name,Epic Link,Summary,Description,Acceptance Criteria,Priority,Components,Labels,Story Points
Epic,Project Foundation And CLI,,Project Foundation And CLI,"Set up the C++ application foundation, CLI modes, source layout, and core domain models.","Foundation supports Windows-first CMake builds, required source layout, CLI modes, and shared domain objects.",High,"app;docs;core","upstox-bot;cpp;phase-1",13
Story,,Project Foundation And CLI,Scaffold C++ project with CMake,"Create the initial C++20 or C++23 application structure with CMake and the proposed source layout.","Builds on Windows; folders exist for app/core/infra/indicators/strategies/risk/order/concurrency/tests; CLI supports validate, dry-run, show-orders, and future live mode; build instructions documented.",High,"app;docs","upstox-bot;cpp;phase-1",5
Story,,Project Foundation And CLI,Define core domain models,"Implement shared domain objects for instruments, market snapshots, strategy signals, decisions, risk events, orders, holdings, portfolio state, and bot runs.","Models use instrument_key as canonical identifier; strategy signals include required fields; order requests include required order metadata; basic serialization or formatting tests exist.",High,core,"upstox-bot;cpp;phase-1",5
Story,,Project Foundation And CLI,Implement operating mode validation,"Enforce mode-specific behavior for validate, dry-run, paper, live, and show-orders.","Dry-run is default; live requires mode=live and live_trading_enabled=true; validate makes no market calls; invalid combinations fail closed with clear errors.",Highest,"app;security","upstox-bot;cpp;phase-1;safety",3
Epic,Configuration CSV Logging And Security,,Configuration CSV Logging And Security,"Implement safe configuration, CSV input validation, structured logging, and credential handling.","Bot can safely load config and instruments, redact secrets, and fail closed on invalid setup.",Highest,"config;csv;logging;security","upstox-bot;cpp;phase-1;safety",31
Story,,Configuration CSV Logging And Security,Choose and implement configuration format,"Resolve YAML versus JSON and implement config loading and validation.","Required sections are validated; required keys are validated; config validation reports actionable errors; config files do not require plaintext API secrets.",Highest,"config;security","upstox-bot;cpp;phase-1;open-decision",8
Story,,Configuration CSV Logging And Security,Implement secure credential loading,"Load Upstox access tokens from environment variables, secure prompt, or approved secret storage.","Tokens are never logged or stored; missing credentials fail closed where API access is required; access_token_env is supported; redaction tests exist.",Highest,"security;config","upstox-bot;cpp;phase-1;safety",5
Story,,Configuration CSV Logging And Security,Implement CSV instrument loader,"Read target company watchlist CSV and produce validated instrument definitions.","Mandatory instrument_key column is required; minimum columns are supported; optional recommended columns are parsed; symbol is display metadata only.",Highest,csv,"upstox-bot;cpp;phase-1",5
Story,,Configuration CSV Logging And Security,Implement CSV validation rules,"Validate CSV rows according to SRS rules before startup.","Duplicates rejected; enabled parses as boolean; quantities are positive integers; decimal fields are valid; unknown strategy profiles rejected; invalid rows fail unless skip_invalid_rows is enabled.",Highest,"csv;testing","upstox-bot;cpp;phase-1;safety",5
Story,,Configuration CSV Logging And Security,Implement structured logging with rotation and redaction,"Add rotating logs with configurable levels and secret redaction.","Startup summary excludes secrets; CSV validation summary logged; strategy/risk/order decisions logged; credentials redacted; daily rotation and log levels supported.",High,"logging;security","upstox-bot;cpp;phase-1",5
Epic,Market Data And Upstox API Client,,Market Data And Upstox API Client,"Integrate Upstox REST and streaming market data with validation, caching, portfolio sync, retries, and audit metadata.","Bot can safely fetch and validate LTP, candles, and portfolio data while respecting error-handling requirements.",High,"market-data;orders;security;persistence","upstox-bot;cpp;phase-5",37
Story,,Market Data And Upstox API Client,Implement Upstox REST API client shell,"Build authenticated REST client with request metadata, retries, and redacted logging.","Auth headers applied securely; request metadata records response codes, retries, and latency; transient failures use backoff and jitter; non-retryable errors are not retried blindly.",High,"market-data;orders;security","upstox-bot;cpp;phase-5",8
Story,,Market Data And Upstox API Client,Implement market quote LTP retrieval,"Fetch latest traded price using Upstox V3 market quote APIs or streaming-compatible abstraction.","LTP retrieved by instrument_key; missing/stale/malformed quote rejected; quote snapshots queued for persistence; mock API quote parsing tests exist.",High,"market-data;testing","upstox-bot;cpp;phase-5",5
Story,,Market Data And Upstox API Client,Implement OHLCV candle retrieval and caching,"Fetch historical OHLCV candle data for configurable intervals and cache results in SQLite.","1 day, 1 hour, and 15 minute intervals supported where configured; candle data validated; redundant calls reduced by cache; strategy-used candles persisted.",High,"market-data;persistence","upstox-bot;cpp;phase-5",8
Story,,Market Data And Upstox API Client,Add WebSocket market data feed support,"Prefer WebSocket feeds for live monitoring to reduce REST polling.","Market data thread receives stream updates; disconnects are logged and retried; strategy workers consume immutable snapshots; REST fallback is configurable.",Medium,"market-data;concurrency","upstox-bot;cpp;phase-5",8
Story,,Market Data And Upstox API Client,Implement portfolio sync service,"Refresh funds, holdings, positions, and order state through standard APIs.","Funds available for buy risk checks; holdings available for sell risk checks; portfolio state is lock-protected; non-critical failures do not stop exit monitoring when possible.",High,"market-data;risk;concurrency","upstox-bot;cpp;phase-5",8
Epic,Indicators Strategies And Signal Aggregation,,Indicators Strategies And Signal Aggregation,"Build indicator calculations, modular strategy classes, initial buy/sell strategies, and signal aggregation.","Strategies emit auditable signals that pass through aggregation and later risk validation.",High,"indicators;strategy;exit-engine;testing","upstox-bot;cpp;phase-2;phase-3",37
Story,,Indicators Strategies And Signal Aggregation,Implement indicator library baseline,"Add reusable calculations for RSI, moving averages, pivots, support/resistance helpers, and volume statistics.","RSI tested; moving averages tested; malformed or insufficient candle data rejected; indicator APIs are independent from Upstox client code.",High,"indicators;testing","upstox-bot;cpp;phase-2",8
Story,,Indicators Strategies And Signal Aggregation,Implement shared strategy interface,"Define modular strategy classes that emit signals without placing orders directly.","Common strategy interface exists; required signal fields emitted; strategies cannot call order APIs; modules can be enabled or disabled by profile.",Highest,"strategy;core","upstox-bot;cpp;phase-2",5
Story,,Indicators Strategies And Signal Aggregation,Implement initial buy strategies,"Implement version 1 buy strategies chosen from SRS options.","RSI oversold implemented; moving average crossover implemented; manual buy price trigger implemented; each strategy has positive, negative, and malformed-data tests.",High,"strategy;indicators;testing","upstox-bot;cpp;phase-2",8
Story,,Indicators Strategies And Signal Aggregation,Implement advanced buy strategy placeholders,"Create extension points or backlog stubs for RSI bullish divergence, trendline support bounce, resistance breakout, and volume breakout confirmation.","Interfaces support future advanced strategies; unavailable strategies fail config validation clearly; Phase 7 implementation tasks are linked.",Medium,strategy,"upstox-bot;cpp;phase-7",3
Story,,Indicators Strategies And Signal Aggregation,Implement sell strategies and exit rules,"Support fixed target, manual target, stop loss, trailing stop, and moving average breakdown.","Default fixed profit target is 10 percent unless overridden; manual target supported; stop loss and trailing stop evaluated; maximum holding period supported or flagged; tests cover each exit condition.",Highest,"exit-engine;strategy;testing","upstox-bot;cpp;phase-3;safety",8
Story,,Indicators Strategies And Signal Aggregation,Implement signal aggregation modes,"Aggregate strategy signals using any, all, and weighted_score modes.","Buy and sell modes configurable; weighted score uses thresholds; first_exit_wins supported for urgent sells; aggregation decisions logged and persisted.",High,"strategy;exit-engine;testing","upstox-bot;cpp;phase-3",5
Epic,Exit Engine Risk Management And Safety Gates,,Exit Engine Risk Management And Safety Gates,"Implement holdings exit monitoring, risk validation, kill switch, market-session checks, and regulatory preflight work.","Every order candidate is validated and live trading is guarded by explicit safety controls.",Highest,"exit-engine;risk;security;docs","upstox-bot;cpp;phase-3;safety",37
Story,,Exit Engine Risk Management And Safety Gates,Implement exit engine with priority rules,"Monitor holdings and generate exit decisions using the SRS exit priority order.","Priority order implemented; holding data and targets evaluated; 10 percent default profit target creates high-priority sell unless overridden; exit decisions include reason and source data.",Highest,"exit-engine;risk","upstox-bot;cpp;phase-3;safety",8
Story,,Exit Engine Risk Management And Safety Gates,Implement risk manager rules,"Validate every buy and sell decision before an order is queued.","Trading mode, enabled stock, strategy profile, session, quantity, max position, order count, order value, daily traded value, funds, holdings, and duplicate orders are checked; every rejection records reason code.",Highest,"risk;testing","upstox-bot;cpp;phase-3;safety",13
Story,,Exit Engine Risk Management And Safety Gates,Implement kill switch,"Add an immediate live-order block controlled by atomic state.","Kill switch blocks new live orders immediately; dry-run decisions can continue when safe; state is thread-safe; activation and deactivation logged.",Highest,"risk;concurrency;security","upstox-bot;cpp;phase-3;safety",5
Story,,Exit Engine Risk Management And Safety Gates,Implement market session and order window checks,"Prevent order placement outside configured market sessions and allowed order windows.","Configurable session window supported; outside-window orders rejected with reason code; boundary tests exist; live mode fails closed when session rules cannot be evaluated.",High,"risk;config;testing","upstox-bot;cpp;phase-3;safety",5
Task,,Exit Engine Risk Management And Safety Gates,Resolve live trading regulatory prerequisites,"Document operational checks for static IP, optional approved algo name header, OAuth, 2FA, broker restrictions, exchange rules, and SEBI constraints.","Live checklist documented; static IP represented in config validation or preflight checks; X-Algo-Name sent only when configured; bot never bypasses broker or regulatory controls.",Highest,"security;docs","upstox-bot;cpp;phase-6;safety",3
Epic,Order Management Concurrency And Rate Limits,,Order Management Concurrency And Rate Limits,"Build priority order handling, centralized rate-limited executors, dry-run and live dispatchers, order tracking, and worker groups.","All API calls are rate limited and order flow is controlled by a single dispatcher.",Highest,"orders;concurrency;testing","upstox-bot;cpp;phase-4;phase-6",55
Story,,Order Management Concurrency And Rate Limits,Implement order request priority queue,"Process order requests by priority and timestamp.","Priority order implemented; simultaneous sells process emergency and stop-loss first; profit exits ordered by urgency and age; unit tests cover ordering.",Highest,"orders;concurrency;testing","upstox-bot;cpp;phase-4;safety",5
Story,,Order Management Concurrency And Rate Limits,Implement rate-limited API executors,"Route all Upstox API calls through centralized token-bucket or leaky-bucket limiters.","Separate order and standard API limiters exist; internal limits are below broker-published limits; sell orders reserve capacity; rate limiter tests exist.",Highest,"concurrency;orders;market-data;testing","upstox-bot;cpp;phase-4;safety",8
Story,,Order Management Concurrency And Rate Limits,Implement dry-run order dispatcher,"Build the single controlled component allowed to place, modify, or cancel orders, initially in dry-run mode.","Strategies and workers cannot bypass dispatcher; dry-run creates simulated order decisions; every request and result recorded; sell priority enforced in dry-run tests.",Highest,"orders;concurrency;persistence","upstox-bot;cpp;phase-4;safety",8
Story,,Order Management Concurrency And Rate Limits,Implement live order placement behind safety gates,"Integrate Upstox delivery order placement only after mode, risk, compliance, and kill-switch checks.","Product D; validity DAY; order type defaults LIMIT; market orders disabled by default unless explicitly allowed; live orders include metadata; mock API tests verify payloads.",High,"orders;security;testing","upstox-bot;cpp;phase-6;safety",13
Story,,Order Management Concurrency And Rate Limits,Implement order tracking and terminal-state monitoring,"Track order IDs, statuses, rejection reasons, fills, and redacted API metadata until terminal state or timeout.","Upstox order IDs stored; updates polled or subscribed to; rejection and fill details recorded; timeout configurable and logged.",High,"orders;persistence","upstox-bot;cpp;phase-6",8
Story,,Order Management Concurrency And Rate Limits,Implement thread-safe worker groups,"Add worker groups for market data, strategies, exit monitoring, order dispatch, portfolio sync, and persistence.","Thread-safe queues exist; immutable snapshots passed to strategies; portfolio state locked appropriately; shutdown and kill switch use atomics; network calls do not hold long locks.",High,concurrency,"upstox-bot;cpp;phase-4",13
Epic,Persistence Audit Testing And Release Readiness,,Persistence Audit Testing And Release Readiness,"Implement SQLite audit storage, show-orders, dry-run integration tests, unit test coverage, and release checklists.","Dry-run behavior is auditable and release readiness is verified before live trading.",Highest,"persistence;testing;docs","upstox-bot;cpp;phase-5;safety",43
Story,,Persistence Audit Testing And Release Readiness,Implement SQLite schema and migrations,"Create local persistence for bot runs, instruments, candles, quotes, strategy signals, decisions, risk events, orders, and API events.","SQLite path configurable; tables match SRS audit requirements; sensitive tokens not stored in plaintext; schema creation idempotent.",Highest,"persistence;security","upstox-bot;cpp;phase-5;safety",8
Story,,Persistence Audit Testing And Release Readiness,Implement persistence worker,"Persist logs, decisions, quotes, candle data, orders, and API events without blocking trading logic.","Persistence worker consumes queued events; trading logic not blocked by normal writes; fatal context persisted when possible; failed writes logged safely.",High,"persistence;concurrency","upstox-bot;cpp;phase-5",8
Story,,Persistence Audit Testing And Release Readiness,Implement show-orders command,"Display stored orders and decisions from SQLite.","show-orders reads configured SQLite path; output includes run ID, instrument key, side, quantity, price, status, reason, timestamp; missing or empty DB handled; secrets never displayed.",Medium,"app;persistence","upstox-bot;cpp;phase-5",3
Story,,Persistence Audit Testing And Release Readiness,Build dry-run integration test,"Test a complete dry-run trading loop with config, CSV, market data stubs, strategy signals, risk validation, priority queue, and persistence.","At least one buy and one sell decision validated; no live API order placed; strategy signals, decisions, risk events, and simulated orders persisted; deterministic in CI.",Highest,testing,"upstox-bot;cpp;phase-4;phase-5;safety",8
Story,,Persistence Audit Testing And Release Readiness,Complete unit test suite required by SRS,"Add unit tests for CSV validation, indicators, strategies, aggregation, risk, rate limiter, and priority queue behavior.","CSV tests present; indicator tests present or tracked; each implemented strategy tested; risk rules tested; rate limiter and priority queue tests present.",Highest,testing,"upstox-bot;cpp;phase-1;phase-7",13
Task,,Persistence Audit Testing And Release Readiness,Prepare manual live-trading acceptance checklist,"Define the manual acceptance test required before any live trading.","Checklist covers dry-run validation, broker compliance, static IP, credentials, risk limits, kill switch, log redaction, and order payload review; explicit user approval required.",Highest,"docs;security","upstox-bot;cpp;phase-6;safety",3
Task,,Persistence Audit Testing And Release Readiness,Resolve SRS open decisions,"Decide and document version 1 behavior for remaining open questions.","Config format selected; first strategy set selected; continuous versus scheduled operation selected; manual target override selected; market order policy selected.",Highest,"docs;config;strategy;orders","upstox-bot;cpp;open-decision",3
